,City Location,Company Name,Description,Job Title,Salary Level,Search Criteria,City,State Zip,blank,State,Zip,high,low,CA,IL,IN,KY,OH,TX
2,"Chicago, IL 60606",Purohit Navigation,"Assist with data QC process on an ad hoc basis. We offer thoughtful research design, expertly executed data collection, and actionable research insights to...",Market Research Analyst,low,data scientist,Chicago, IL 60606,,IL,60606,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,"Chicago, IL",C R Research Services,"
Participate in the development of final written reports that involve presentation set-up and data posting. Coordinate all aspects of primary research projects...",Quantitative Research Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,"Chicago, IL",Google,"
Experience interpreting technical data and creating reports with data. Experience with data analytics and/or data visualization techniques and software....","Machine Learning Deployment Engineer, Professional Services,...",low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10,"Chicago, IL",Northwestern University,"
Ensures data integrity. This includes database administration, data consolidation, data analysis and management reporting....",Statistical Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12,"Chicago, IL",Precima,The Data Scientist will provide process execution support for client projects. Take analytical objectives and define data requirements....,Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
24,"Chicago, IL 60601",HERE,With big data in Hadoop and/or Spark for data extraction and data prep for. Solutions and organizing teams of other data scientists and engineers to....,Principal Data Scientist,low,data scientist,Chicago, IL 60601,,IL,60601,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
25,"Northbrook, IL 60062",Allstate Insurance,"The Data Scientist family is accountable for using data to make decisions, which includes building predictive models and developing new machine learning...",Junior Data Scientist,low,data scientist,Northbrook, IL 60062,,IL,60062,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
29,"Chicago, IL",The University of Chicago Medicine,"
The Data Scientist will also be responsible for data profiling/cleansing data governance consultation, data quality assessment, data mart mapping and data...",Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
30,"Chicago, IL",Digital Factory,"
Chief Data Scientist*. We are looking for an experienced Data Scientist that will work with the Research/Development teams to provide insights into mobile data...",Chief Data Scientist (equity position),low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
31,"Chicago, IL",Anomalix,"
Data Scientist Responsibilities will include:. Anomalix is looking for strong data scientist candidates to join a team building out our flagship enterprise...",Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
33,"Chicago, IL",Kaplan,"
Metis Senior Data Scientists provide incredible and inspiring Data Science instruction; We are looking for Senior Data Scientists to be part of the Metis Data...",Senior Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
34,"Chicago, IL",GE Transportation,"
The Senior Data Scientist will demonstrate leadership in communicating business goals, programs, and processes for multiple areas or business / market segments....",Senior Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
37,"Northbrook, IL 60062",Allstate Insurance,"The Data Scientist family is accountable for using data to make decisions, which includes building predictive models and developing new machine learning...",Junior Data Scientist,high,data scientist,Northbrook, IL 60062,,IL,60062,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,"Chicago, IL",Synchrony Financial,"
We are looking for scientists who are curious and passionate about mining data and have experience in statistical programming, SAS, machine learning, and use of...","AVP, Credit Innovation Data Scientist (L11)",high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,"Chicago, IL",Inficare,"
Be a key component of the Big Data and Data Sciences CoE, working directly with clients to solve varied business issues using internal and external data....",Data Scientist,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,"Chicago, IL",The University of Chicago Medicine,"
The Data Scientist will also be responsible for data profiling/cleansing data governance consultation, data quality assessment, data mart mapping and data...",Data Scientist,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,"Chicago, IL 60601 (Loop area)",Third Eye,"
Be a key component of the Big Data and Data Sciences CoE, working directly with clients to solve varied business issues using internal and external data....",Data Scientist,high,data scientist,Chicago, IL 60601 (Loop area),,IL,60601 (Loop area),1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,"Chicago, IL 60601 (Loop area)",KPMG,"
KPMG is currently seeking a Data Scientist, to join our Advanced Data Analytics in our Chicago, IL office. Eight years of professional experience working as a...",Data Scientist,high,data scientist,Chicago, IL 60601 (Loop area),,IL,60601 (Loop area),1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,"Chicago, IL",Brad's Deals,"
Brad’s Deals is looking for an experienced data scientist to join our team. Develop recommender systems based on behavioral data....",Data Scientist,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,"Chicago, IL 60601",HERE,With big data in Hadoop and/or Spark for data extraction and data prep for. Solutions and organizing teams of other data scientists and engineers to....,Principal Data Scientist,high,data scientist,Chicago, IL 60601,,IL,60601,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,"Chicago, IL 60601",Allstate Insurance,Manages data and data requests to improve the accuracy of our data and decisions made from data analysis. Strong understanding of geospatial data....,Geospatial Data Scientist,high,data scientist,Chicago, IL 60601,,IL,60601,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,"Chicago, IL",Digital Factory,"
Chief Data Scientist*. We are looking for an experienced Data Scientist that will work with the Research/Development teams to provide insights into mobile data...",Chief Data Scientist (equity position),high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,"Chicago, IL",Anomalix,"
Data Scientist Responsibilities will include:. Anomalix is looking for strong data scientist candidates to join a team building out our flagship enterprise...",Data Scientist,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,"Chicago, IL",GE Transportation,"
The Senior Data Scientist will demonstrate leadership in communicating business goals, programs, and processes for multiple areas or business / market segments....",Senior Data Scientist,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,"Chicago, IL",Google,"
Experience interpreting technical data and creating reports with data. Experience with data analytics and/or data visualization techniques and software....","Machine Learning Deployment Engineer, Professional Services,...",high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,"Chicago, IL",Civis Analytics,"
With a specialization in unstructured data, this Data Scientist role will apply techniques from fields such as machine learning, applied statistics, natural...",Data Scientist - Unstructured Data,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,"Chicago, IL",Illinois Technology Association,"
Collaborate with data scientists to design and develop processes to further business unit and company-wide data science initiatives on a common data platform....",GrubHub - Data Engineer,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,"Chicago, IL",Civis Analytics,"
With a specialization in unstructured data, this Senior Data Scientist role will apply techniques from fields such as machine learning, applied statistics,...",Senior Data Scientist - Unstructured Data,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,"Chicago, IL",BMW Technology Corporation,"
Carry out the research on context data intelligence that will impact the research communities around data and computing....",Machine Learning Researcher - BMW Technology Corporation,high,data scientist,Chicago, IL,,IL,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,"Chicago, IL 60604 (Loop area)",Wolverine Trading,"
Machine Learning Data Scientist. You will be using large data sets to create trading strategies, improve trading, quantitative research and data mining....",Machine Learning Data Scientist,high,data scientist,Chicago, IL 60604 (Loop area),,IL,60604 (Loop area),1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
116,"Chicago, IL",Northwestern University,"
Critical thinking, business intelligence application design, data mining, data modeling, data warehouse design/develop, database design/ data structure,...",Senior Statistical Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
119,"Chicago, IL",Brad's Deals,"
Brad’s Deals is looking for an experienced data scientist to join our team. Develop recommender systems based on behavioral data....",Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
132,"Chicago, IL","Eldorado Trading, LLC","
Market Data and Order Management System Experience preferred. Solid with data structures, STL algorithms, C++ templates and some experience with system...",Quantitative Analyst Intern,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
139,"Chicago, IL 60606 (Loop area)","Technomic, Inc.","
Run data quality checks on online data platforms. Build online survey questionnaires in IBM SPSS Data Collection and Reporter....",Research Analyst (Survey Programming),low,data scientist,Chicago, IL 60606 (Loop area),,IL,60606 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
142,"Chicago, IL",Mintel,"
Commercially driven with a talent for seeing the patterns behind data, and understanding what these patterns mean from a business standpoint....",Research Analyst - Retail & Apparel,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
147,"Chicago, IL 60601 (Loop area)",Marquette Associates Inc,"
Summary: The role of the Research Analyst is to conduct macroeconomic research and investment manager due diligence on alternative investments. The duties",Research Analyst,low,data scientist,Chicago, IL 60601 (Loop area),,IL,60601 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
151,"Abbott Park, IL",Revolution Technologies,"
Meets with CRA, R&D, Instrumentation scientists, department data collection programmers, and data entry to find the best way of capturing the data....",Statistician 2,low,data scientist,Abbott Park, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
155,"Chicago, IL 60654 (Loop area)","Anthem, Inc.","
This consultant will work closely with Data Scientists to develop and implement new algorithms for Fraud, Waste & Abuse identification....",Business Info Consultant (Program Intergrity Analytics Innov...,low,data scientist,Chicago, IL 60654 (Loop area),,IL,60654 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
169,"Chicago, IL 60604 (Loop area)",James Hardie,"
A passion to exhaustively uncover facts and data. Proven ability to synthesize complex and detailed data and information....",Primary Market Research Analyst,low,data scientist,Chicago, IL 60604 (Loop area),,IL,60604 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
173,"Chicago, IL",Kelton Global,"
Kelton is a strategy consultancy that creates consumer-oriented business solutions based on core human truths. We create brand relevance and resonance for our","Senior Analyst, Quantitative Research",low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
177,"Chicago, IL",University of Chicago,"
Oversees activities related to data collection and analysis. The Research Manager will be working 50% in the Liao Lab and 50% with the 5 junior scientists in...",Research Manager,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
185,"Chicago, IL",Federal Reserve Bank of Chicago,"
Evaluates data and interprets principles and regulations to resolve accuracy and conformity issues with banking organizations to ensure data integrity....",Associate Statistical Reports,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
189,"Chicago, IL","Envestnet Asset Management, Inc","
The highest data frequency we work with is daily. Envestnet is a leading independent provider of technology-enabled, web-based investment solutions and services...",Quantitative Research Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
193,"Chicago, IL 60611 (Near North Side area)",Levy Restaurants,"
Can share examples of how they have used data to solve complex problems. Map and trace data from various source systems in order to solve a given business...",Market Research Analyst,low,data scientist,Chicago, IL 60611 (Near North Side area),,IL,60611 (Near North Side area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
194,"Chicago, IL",University of Chicago,"
Independently interpret research data, develop conclusions and communicate the findings to stakeholders through effective oral and written communication....",Research Professional,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
201,"Chicago, IL",Ipsos North America,"
Find new spins on data visualization, attend and learn at the presentation stage. The ideal candidate is a business-minded individual who is interested in and...",Loyalty - Research Analyst (Entry-Level),low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
207,"Chicago, IL",The Field Museum,"
The postdoctoral scientists will work directly with Dr. Demonstrated experience working with three-dimensional data generated through scanning of fossils is...",Postdoctoral Research Scientist - Vertebrate Paleontology,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
209,"Evanston, IL",Smith Hanley Associates,"
Present data findings to management and senior leadership. 2 to 3 years of statistical and data analysis work experience required....",Statistical Analyst,low,data scientist,Evanston, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
218,"Chicago, IL",University of Chicago,"
Preference will be given to individuals with experience in study design and primary data collection as well as network analysis....",Research Associate (Asst/Assoc/Prof) - Infectious Diseases (...,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
222,"Chicago, IL",Civis Analytics,"
Experience working with imperfect data. To help you learn and succeed, you will be paired with a data scientist mentor from our team — we strive to grow the...",Data Science Research & Development Internship - Summer 2017,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
223,"Chicago, IL",Next Step Systems,"
Junior Quantitative Research Analysts, Chicago, IL Chicago IL Jobs, Junior Quantitative Research Analyst, C++, Math, Financial, Chicago Recruiters,",Jr Quantitative Reasearch Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
226,"Chicago, IL 60654 (Loop area)",Citizens United for Research in Epilepsy,"
Excellent with research and data analysis, web and digital strategy, digital engagement. We identify and fund cutting-edge research, challenging scientists...",Manager of Media Relations and Integrated Marketing,low,data scientist,Chicago, IL 60654 (Loop area),,IL,60654 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
228,"Chicago, IL",WSP | Parsons Brinckerhoff,"
Â€¢Provide accurate estimates for and track data on time spent adding new features and fixing defects. Approximately 34,500 employees, including engineers,...",Client Support Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
242,"Chicago, IL 60604 (Loop area)",Euromonitor International,"
Client-facing responsibilities, including helping clients understand the sources and methodology of published data and reports....",Research Associate/Analyst - US,low,data scientist,Chicago, IL 60604 (Loop area),,IL,60604 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
258,"Evanston, IL",NorthShore University HealthSystem,"
Demonstrated success collaborating with clinical investigators or basic scientists. Develop data collection forms and create analysis datasets and databases....",Sr. Biostatistician,low,data scientist,Evanston, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
259,"Chicago, IL","Collaborative for Academic, Social, and Emotional...","
Develop, organize and maintain data base of state contacts. Support the Senior Scientist in Developing Written Products related to CASEL priorities....",Research Project Manager,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
271,"Chicago, IL 60606 (Loop area)",Purohit Navigation,"
Assist with data QC process on an ad hoc basis. We offer thoughtful research design, expertly executed data collection, and actionable research insights to...",Market Research Analyst,low,data scientist,Chicago, IL 60606 (Loop area),,IL,60606 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
272,"Chicago, IL",University of Chicago,"
Uses benchmark data for planning and incorporates it into analysis and presentations. These scholars pursue this mission through research, the education of...",Finance Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
273,"Chicago, IL",University of Chicago,"
May analyze data and make recommendations regarding the business operations of the Section. Effectively utilizes and orients others to patient databases,...",Administrative Specialist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
283,"Wood Dale, IL 60191",AAR Corp.,"
Create and implement detailed data collection plans to acquire all necessary data elements to create statistical inventory forecast for expendable components...",Data Scientist,low,data scientist,Wood Dale, IL 60191,,IL,60191,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
285,"Burr Ridge, IL 60527",Mars,"
Demonstrated experience using a computer data handling system for input, storage, manipulation and analysis of data....","Sensory Technician - Burr Ridge, IL",low,data scientist,Burr Ridge, IL 60527,,IL,60527,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
286,"Chicago, IL","Technical Options, Inc","
We are looking for a Quantitative Analyst in our Chicago office. You would work closely with one of our algorithmic trading teams. The expectation is that you",Quantitative Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
289,"Chicago, IL 60607 (Near West Side area)",eSpark,"
The opportunity to work on a rare mixed and passionate team of experienced teachers, engineers, designers, and data scientists....",Inbound Marketing Manager,low,data scientist,Chicago, IL 60607 (Near West Side area),,IL,60607 (Near West Side area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
290,"Chicago, IL",Morningstar,"
The managing editor will be very comfortable working with data and creating easy-to-understand graphics and exhibits....",Managing Editor,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
294,"Skokie, IL",Fresenius Kabi,"
Ensures timely entry of reviewed stability data into the database. Performs statistical data analysis to evaluate product stability and determining shelf-life....","ASSOCIATE SCIENTIST, STABILITY FORMULATION (SK00102)",low,data scientist,Skokie, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
296,"Chicago, IL",PepsiCo,"
As a R&D Scientist Intern, you will have the opportunity apply your technical knowledge by working on business critical projects with either beverage or snack...",R&D Food Science Intern,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
305,"Chicago, IL",Morningstar,"
Consisting of marketing managers, designers, writers, corporate communications professionals, digital strategists, behavioral scientists, and more, this...",Content Manager,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
319,"Chicago, IL",Levy Restaurant Limited Partnership,"
Can share examples of how they have used data to solve complex problems. Map and trace data from various source systems in order to solve a given business...",Market Research Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
324,"Chicago, IL 60611 (Near North Side area)",American Dental Association,"
A minimum of 2 years’ experience analyzing and interpreting scientific data. Ability to present technical and scientific information in a language that is clear...",Senior Research Associate - PhD,low,data scientist,Chicago, IL 60611 (Near North Side area),,IL,60611 (Near North Side area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
330,"Chicago, IL",The CSI Companies,"
Identifies and independently resolves data issues (such as missing values and invalid data). Statistical Analysis / Data Science (65%):....",Principal Statistical Analyst - Retail Group,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
331,"Elk Grove Village, IL",Grecian Delight Foods Inc,"
The backup for this position is R&D Manager or R&D Scientist. Provides sample and data collection, as well as basic analysis for support for production line...",Meat Food Scientist,low,data scientist,Elk Grove Village, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
332,"Chicago, IL",Ipsos North America,"
Finding new spins on data viz. You love, love, love playing with data. Overseeing all operational components of projects (online survey programming, sample...",Connect - Senior Research Manager,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
340,"Chicago, IL",Cook County Health & Hospitals System,"
An Accredited Medical Technologist (AMT), Clinical Laboratory Scientist (CLS) or other national certification (....",MEDICAL TECHNOLOGIST III,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
341,"Chicago, IL",Precision For Value,"
At Precision, you will collaborate with teams that include former payers, data scientists, health economists, marketing strategists, and promotional...",Assistant Account Executive - Medical Communications Job,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
355,"Chicago, IL",Olenick & Associates,"
Collect and analyze public domain data to evaluate potential client opportunities. Research and evaluate data related to the status of contacts within the IT...",Business Development Research Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
359,"Chicago, IL 60631 (Norwood Park area)",HDR,"
Communicate project numbers and contract/project financial data to project team on regular basis. We create an unshakable foundation for progress because our...",Project Accountant 1,low,data scientist,Chicago, IL 60631 (Norwood Park area),,IL,60631 (Norwood Park area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
365,"Chicago, IL",University of Chicago,"
Our scientific data clouds and commons include:. The Center for Data Intensive Science is developing the emerging field of data science with a focus on...",Financial Administrator,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
367,"Chicago, IL",CDK Global,"
From data scientists to sales and operations experts, we’re hiring to support your growth and ours - Green light your career ....",Sales Associate,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
371,"Skokie, IL",Medix,"
Chemist (Laboratory Technician / Research Scientist). Performing critical interpretation of analytical data, executing mathematical calculations as outlined in...",Chemist,low,data scientist,Skokie, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
372,"Chicago, IL",Cook County Health & Hospitals System,"
An Accredited Medical Technologist (AMT), Clinical Laboratory Scientist (CLS) or other national certification (....",MEDICAL TECHNOLOGIST III - JOHN H. STROGER HOSPITAL,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
374,"Evanston, IL",Northwestern University,"
Familiarity with best practices for managing and ensuring confidentiality for FERPA-protected academic data....",Senior Program Coordinator,low,data scientist,Evanston, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
376,"Northbrook, IL 60062",Modis,"
SQL background to extract data. Experience with Data Warehousing is a huge plus! Producing formal reports to collect data on monthly, quarterly and annual...",Statistical Data Analyst- Northbrook!,low,data scientist,Northbrook, IL 60062,,IL,60062,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
377,"Chicago, IL 60645 (West Ridge area)",Drivin,"
As a premier venture-backed, rapidly growing start-up, we are looking for world-class individuals to join our team, including creative technologists, forward...",Inside Sales Representative,low,data scientist,Chicago, IL 60645 (West Ridge area),,IL,60645 (West Ridge area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
384,"Bloomingdale, IL 60108",NOW Foods,"
Manages the stability program and provides improvements with involvement from R&D, scientists (method development) and quality management....",Quality Control Stability Supervisor,low,data scientist,Bloomingdale, IL 60108,,IL,60108,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
386,"Chicago, IL",Ipsos North America,"
You love, love, love playing with data. The ideal candidate is a business-minded individual who is interested in and intrigued by integrating data and research...",Loyalty - Market Research Manager (2-3+ years experience),low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
401,"Chicago, IL 60616",Illinois Institute of Technology,IIT and IITRI scientists and engineers have made some of the century's most important technological advancesthe invention of magnetic recordingdevelopment of re...,Linux & HPC System Admin,low,data scientist,Chicago, IL 60616,,IL,60616,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
402,"Chicago, IL 60606",Forte,This is an excellent opportunity to work with an energetic team developing creative solutions for analyzing complex 3D and image data....,Research Engineer C++,low,data scientist,Chicago, IL 60606,,IL,60606,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
403,"Chicago, IL 60290",Boston Consulting Group,"Data Engineers, together with Data Scientists, Scientific Modelers, Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are the...",Knowledge Analyst - Data Engineering,low,data scientist,Chicago, IL 60290,,IL,60290,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
443,"Chicago, IL 60601 (Loop area)",Prosperoware,"
As a Data Scientist, you will be responsible for extracting data and running simulations to test different models....",Data Scientist,low,data scientist,Chicago, IL 60601 (Loop area),,IL,60601 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
459,"Chicago, IL",Federal Reserve Bank of Chicago,"
Performs rigorous data analysis to discover business insights. Stays knowledgeable about new processes, technology, and best practices in data science....",Data Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
461,"Chicago, IL",Mintel,"
Expertise reading and interpreting consumer research data. Expertise working with syndicated sales data, such as IRI or ACNielsen....",Research Analyst - Beverage,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
469,"Chicago, IL",C R Research Services,"
Presentation set-up, data posting, data analysis and editorial write-up. Field coordination, survey programming, quality control, data processing, and report...",Sr. Quantitative Research Analyst,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
472,"Chicago, IL 60661 (Near West Side area)",Exponent,"
Maintaining a systematic approach to data collection and report writing. Our multidisciplinary team of scientists, engineers, physicians, and regulatory...",Associate/Senior Associate,low,data scientist,Chicago, IL 60661 (Near West Side area),,IL,60661 (Near West Side area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
475,"Chicago, IL",Amyx,"
Amyx is seeking a Computer Scientist candidate using their knowledge of data analytics and data computation, to assist CRQA staff with programming, software...",SEC Financial Computer Scientist,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
479,"Chicago, IL",Johnson Controls,"
Evaluate 3rd party data sets and understand data limitations and quality; The team consists of prior consultants, retail operations experts, data scientists,...","Director, Advanced Analytics",low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
487,"Chicago, IL 60603 (Loop area)",Workbridge Associates,"
MS in Data Science/Computer Science or RelatedExperience working with consumer driven data models in B2CStrong business intelligenceBenefits & PerksAs a...",Lead Data Scientist,low,data scientist,Chicago, IL 60603 (Loop area),,IL,60603 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
489,"Northbrook, IL",Stericycle,"
Data Quality - Execute different data analytics (joins, audits, correlation, etc.). Develop partnership with Information Systems to gain insight into upcoming...",Data Analyst/Scientist,low,data scientist,Northbrook, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
490,"Deerfield, IL",BAXTER,"
Every day, Baxter touches the lives of millions of patients and providers worldwide who rely on our essential hospital and renal products and services. You’ll",Senior Statistician,low,data scientist,Deerfield, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
491,"Chicago, IL",Civis Analytics,"
Survey data, consumer data, public data, and client data. Leading agile technical delivery of data pipelines and core data assets....",Lead Data Engineer,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
493,"Chicago, IL 60654 (Loop area)",Tempus,"
These studies involve analyses of data from candidate genes and genome-wide sequence data across both DNA and RNA....",Computational Biologist- Statistical Genetics,low,data scientist,Chicago, IL 60654 (Loop area),,IL,60654 (Loop area),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
495,"Chicago, IL",United Airlines,"
Knowledge of United/Industry data sources. Anticipates working team questions to data and approach. Identifies, researches, or solves large complex problems...",Senior Analyst - Statistics and Operations Research,low,data scientist,Chicago, IL,,IL,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
